LocalizacaoID,Marca,Nome_Posto,Latitude,Longitude,Cor_Mapa,Concelho
1,GALP,GALP 15013,41.25966,-8.61602,#FF0000,Maia
2,GALP,GALP 15027,41.25516,-8.65438,#FF0000,Maia
3,GALP,GALP 12899,41.20092,-8.56822,#FF0000,Maia
4,GALP,GALP 12900,41.20018,-8.56694,#FF0000,Maia
5,GALP,GALP 15041,41.23307,-8.54789,#FF0000,Maia
6,GALP,GALP 15152,41.21266,-8.5643,#FF0000,Maia
7,BP,BP 27150,41.21,-8.57624,#008000,Maia
8,BP,BP 27296,41.22753,-8.56788,#008000,Maia
9,BP,BP 27161,41.22571,-8.61555,#008000,Maia
10,CEPSA,CEPSA 61170,41.21755,-8.60416,#0000FF,Maia
11,REPSOL,REPSOL 1313,41.23926,-8.62463,#FFA500,Maia
12,REPSOL,REPSOL 1314,41.23925,-8.62503,#FFA500,Maia
13,REPSOL,REPSOL 1322,41.24609,-8.64897,#FFA500,Maia
14,REPSOL,REPSOL 1377,41.23908,-8.6217,#FFA500,Maia
15,REPSOL,REPSOL 1393,41.24843,-8.6488,#FFA500,Maia
16,PRIO,PRIO A_120274007,41.1887,-8.58705,#800080,Maia
17,BP,BP 27028,41.27544,-8.60783,#008000,Maia
18,AUCHAN,AUCHAN P12,41.23694,-8.66703,#8B0000,Maia
19,BP,BP 27106,41.18982,-8.58063,#008000,Maia
20,CEPSA,CEPSA ES628101,41.22684,-8.61862,#0000FF,Maia
21,CEPSA,CEPSA ES633491,41.25824,-8.62481,#0000FF,Maia
22,PRIO,PRIO A_120274009,41.2577,-8.59806,#800080,Maia
23,BP,BP 27330,41.23746,-8.65182,#008000,Maia
24,BP,BP 27332,41.23717,-8.65447,#008000,Maia
25,ALVES BANDEIRA,ALVES BANDEIRA AB449,41.27829,-8.60687,#FFD700,Maia
26,GALP,GALP 11896,41.23696,-8.59839,#FF0000,Maia
27,AUCHAN,AUCHAN P15,41.25002,-8.61944,#8B0000,Maia
28,INTERMARCHE,INTERMARCHE 2015,41.25007,-8.66575,#00AEEF,Maia
29,DOUROGAS NATURAL,DOUROGAS NATURAL 006,41.2373,-8.65398,#00CED1,Maia
30,BP,BP 27545,41.244973,-8.630067,#008000,Maia
31,ALVES BANDEIRA,ALVES BANDEIRA AB396,41.259471,-8.637788,#FFD700,Maia
32,REDE ENERGIA,REDE ENERGIA 15151,41.20699,-8.56666,#555555,Maia
33,PRIO,PRIO A_120274110,41.22373,-8.56429,#800080,Maia
34,PRIO,PRIO A_120274116,41.229302,-8.587439,#800080,Maia
35,BP,BP 100007,41.25561,-8.54604,#008000,Maia
